City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Tura,96,RU,1569632411,89,64.27,100.22,28.1,4.61
Isla Mujeres,40,MX,1569632412,74,21.23,-86.73,84.2,5.82
Guerrero Negro,0,MX,1569632419,84,27.97,-114.04,68.8,19.8
Havoysund,90,NO,1569632425,100,71.0,24.66,41.0,13.87
Busselton,5,AU,1569632427,89,-33.64,115.35,61.0,10.13
Cape Town,0,ZA,1569632387,87,-33.93,18.42,66.99,3.36
Ketchikan,1,US,1569632428,58,55.34,-131.65,57.2,17.22
Bilma,0,NE,1569632429,11,18.69,12.92,85.72,1.01
Shimoda,40,JP,1569632432,74,34.7,138.93,78.8,4.7
Zhanaozen,72,KZ,1569632434,29,43.35,52.85,52.62,10.83
Stepnogorsk,12,KZ,1569632434,73,52.35,71.88,33.84,9.08
Ushuaia,40,AR,1569632436,61,-54.81,-68.31,48.2,4.45
Yellowknife,40,CA,1569632308,74,62.45,-114.38,37.4,12.75
Saint-Philippe,1,CA,1569632441,72,45.36,-73.48,63.0,5.82
Nanortalik,0,GL,1569632442,81,60.14,-45.24,40.85,3.87
Hermanus,100,ZA,1569632444,84,-34.42,19.24,66.0,11.01
Saldanha,33,PT,1569632447,75,41.42,-6.55,58.02,2.44
Punta Arenas,0,CL,1569632448,61,-53.16,-70.91,50.0,12.75
Bredasdorp,91,ZA,1569632449,82,-34.53,20.04,66.0,11.41
Comodoro Rivadavia,0,AR,1569632450,34,-45.87,-67.48,66.2,4.7
Mataura,100,NZ,1569632450,78,-46.19,168.86,54.74,13.35
Liberty,75,US,1569632451,69,39.64,-84.93,84.2,9.98
Hilo,1,US,1569632452,52,19.71,-155.08,91.4,9.17
Macusani,87,PE,1569632454,83,-14.07,-70.43,36.62,0.69
Barrow,100,AR,1569632456,53,-38.31,-60.23,57.33,13.56
Te Anau,89,NZ,1569632456,90,-45.41,167.72,48.32,13.71
Soe,0,EE,1569632457,93,57.91,26.05,42.01,2.24
Luwuk,87,ID,1569632458,89,-0.95,122.79,67.58,4.34
Bluff,0,AU,1569632459,46,-23.58,149.07,75.28,4.85
Dukat,0,AL,1569632460,78,40.25,19.57,66.99,4.18
Airai,0,TL,1569632461,39,-8.93,125.41,83.02,1.63
Aksarayskiy,20,RU,1569632461,71,46.79,48.01,51.8,8.95
Poum,0,MK,1569632462,74,41.28,20.71,51.12,2.82
Omsukchan,77,RU,1569632464,71,62.53,155.8,24.81,4.9
